from_max_extension,OKC_extension_only_Diff_z,OKC_flexion_only_Diff_z,OKC_extension_only_Diff_z_2,OKC_flexion_only_Diff_z_2,OKC_extension_only_Diff_z_3,OKC_flexion_only_Diff_z_3,OKC_extension_only_Diff_z_avg,OKC_flexion_only_Diff_z_avg,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_2,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_2,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_3,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_3,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_avg,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_avg,CKC_extension_only_Diff_z,CKC_flexion_only_Diff_z,CKC_extension_only_Diff_z_2,CKC_flexion_only_Diff_z_2,CKC_extension_only_Diff_z_3,CKC_flexion_only_Diff_z_3,CKC_extension_only_Diff_z_avg,CKC_flexion_only_Diff_z_avg,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_2,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_2,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_3,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_3,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_avg,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_avg
30,-8.64085403339322,-6.820894010594096,-7.363358611589266,-5.66128018708628,-7.827346610229618,-5.655753685755696,-7.951539180301215,-5.950432426721799,-8.223946606294913,-7.235179967432724,-7.812364037421145,-6.832574376080105,-8.40520592056453,-7.455636488724633,-8.131243238509267,-7.039021211984445,11.12157634685222,7.6543346397033725,10.468000584561862,7.942929412255719,10.647750759401156,7.3784896831799545,10.648313459114815,7.705483983673351,10.319169917713676,6.861864528625954,9.521695869931218,6.525327199915596,9.345285283009837,6.413760660487566,9.671736929261485,6.666604469601899
31,-8.544324084242557,-6.908698914887283,-7.240051294331126,-5.543360762687708,-7.7787249259291436,-5.680956254603608,-7.902750645984654,-6.0066694863458325,-8.15927404277258,-7.357527461798647,-7.701441678143956,-6.775814296076565,-8.404337390301173,-7.546975617769831,-8.110198068334467,-7.155543584077974,11.10664854100779,7.70687700114985,10.544697796007766,7.965352774989186,10.773671791179625,7.234104025660042,10.771341634087046,7.6660590326241715,10.191342787943498,6.927492444955619,9.525716751389563,6.543670957012615,9.39494731885499,6.191251909912989,9.730057317371026,6.606432048708712
32,-8.355681251960416,-6.926348806157833,-7.1400662173587754,-5.421256394726871,-7.7113154104433965,-5.611113937525948,-7.8210384091768255,-6.003637188072587,-8.003042704658693,-7.427422274610187,-7.621805427825324,-6.71332891693167,-8.381311663562716,-7.5603777023070755,-8.061805620299692,-7.205943998833383,11.13858335471136,7.946706973893694,10.624547393271886,8.102443450638866,10.879295575672447,7.1795426966054965,10.834955908486434,7.6811414924829196,10.131051613793897,7.1424606606699745,9.53100962440353,6.681862530827217,9.44953906688449,6.081120307879466,9.705766577067338,6.6002022952319415
33,-8.191224282392088,-6.8796352104808784,-7.075163756595327,-5.320852997277149,-7.676054574548923,-5.4560115858504625,-7.714053472999713,-5.9527719136536446,-7.8677318641820175,-7.443640401948537,-7.600911341310943,-6.655820595484504,-8.408675418953912,-7.486025274125367,-7.995088569844118,-7.214540190800588,11.24143653431025,8.083493059686319,10.654470031746007,8.408671420637061,10.990848238875182,7.415881941954868,10.890782987376605,7.844973697045418,10.175856300717214,7.178145102220959,9.512802884397859,6.941249734825136,9.509247345191525,6.306740274176467,9.697797855025415,6.7216102344581925
34,-8.04811060641435,-6.68814561105767,-7.041494539309539,-5.25865997199117,-7.682855157658058,-5.268697661661001,-7.636257798750184,-5.864768922774171,-7.759473851251222,-7.344504837904198,-7.632262041983243,-6.640074810989622,-8.489373885212059,-7.3847922401469965,-7.969556441706391,-7.1899134956878425,11.386662726111691,8.203097337700717,10.73860939845255,8.791148377616903,11.114385408845042,7.94038746270518,10.99029805721266,8.096841126419363,10.283224385851161,7.203605507486419,9.523499811139299,7.219817203975673,9.563582487332553,6.84250808880407,9.736201152349347,6.901567526791033
35,-7.9322379715320945,-6.399890988161445,-7.0603805255827865,-5.259253468384344,-7.635240907018829,-5.067109200773708,-7.597115429885065,-5.738698913701005,-7.672290979946361,-7.1381556875196495,-7.7227205597010675,-6.706996708356806,-8.487151142084334,-7.265107019850396,-7.990522765388117,-7.145431262136,11.595213495067505,8.228339747471903,10.878138986771802,9.102220141009095,11.246826339878389,8.31198114158616,11.126395707242844,8.415234980471665,10.444160305669332,7.114749446880927,9.589084442439832,7.4558106157853405,9.627471289478587,7.192987478790911,9.811963771874515,7.167308070691942
36,-7.769201914478164,-6.197681217922413,-7.091280589701039,-5.2368581061898025,-7.512721469416232,-4.915707556705958,-7.552919822750655,-5.567952765041652,-7.539262767368442,-6.984561089202067,-7.830385622733431,-6.739261727226582,-8.393450623339966,-7.163676130958957,-7.9966092482547095,-7.047508144865542,11.80540079859004,8.20745482534145,11.050080805186614,9.318489348379305,11.427196604864026,8.654866761545158,11.297373546710835,8.619603412479123,10.58418434700801,6.915092544708753,9.678019037124974,7.608007606160566,9.739878713376086,7.513331757383515,9.916550210757629,7.305248177277467
37,-7.619778847364243,-6.044158948973335,-7.156705799382004,-5.169771636480295,-7.380292791469218,-4.720725578666702,-7.479543061092134,-5.427720137036221,-7.417856751953906,-6.880526250571948,-7.978485234244915,-6.755408188962377,-8.302949210498404,-7.048292027532856,-7.9703995416511075,-6.967881803041134,12.003119842754275,8.472496795566594,11.271242622290417,9.437436222634133,11.637304050510188,9.130416073632626,11.501280008581494,8.766585936506914,10.708754731003424,7.040458750684946,9.809736401940555,7.658363317730044,9.876989591297502,7.935659591782849,10.044599820774884,7.36226253994077
38,-7.518036111724692,-5.946659396735038,-7.1993552400523395,-5.097765517614658,-7.235303696444523,-4.624887145435627,-7.399808959628601,-5.287550015084898,-7.33988251767,-6.840020075863134,-8.1018519032882,-6.765935621201237,-8.201330970451986,-7.051027162740878,-7.940885955246837,-6.89825129976868,12.19054799184751,8.739068130187144,11.450683236703432,9.442209634788478,11.8493799530276,9.195989704780613,11.697035709989299,9.015040834662566,10.835379875827565,7.316601296593339,9.93366985732602,7.584086147489378,10.018256484052808,7.883738225442628,10.17313805987565,7.520068163319057
39,-7.409164741919877,-5.854334517955991,-7.091630101098587,-5.015673253887526,-7.067808558601795,-4.625134867845356,-7.281656636422601,-5.195739932019397,-7.260699425941562,-6.8119312281454105,-8.072705749570758,-6.777705429284741,-8.100918936111182,-7.138946150541594,-7.871306412564248,-6.889584222629584,12.310266655711839,9.051844801838246,11.734376695893467,9.685263665886204,12.12345050240336,9.194515514473844,11.924768213589525,9.206773833617987,10.911862911970253,7.680955103581409,10.150934035528175,7.7157615307512435,10.23603413689812,7.821701405945715,10.334856798469517,7.63870035092907
